filename,Tema,Narasi,Makna moral
001-Killing-Living-Beings-Original.jpg,Pembunuhan,"Di sebuah desa nelayan, sekelompok orang tengah bersuka cita. Para nelayan sibuk menyiapkan jebakan mereka di laut, berharap hasil tangkapan yang melimpah. Di sisi lain, para pemusik memainkan alat musik dengan riang, seolah mendukung kegiatan itu sebagai sebuah hiburan. Seorang tokoh terkemuka berdiri memuji para nelayan, menyebutnya sebagai kerja keras yang patut diapresiasi. Di tengah keramaian itu, seseorang membawa hasil tangkapan dengan bangga, menunjukkan keberhasilan mereka hari itu. Namun, di balik suasana yang tampak penuh kegembiraan, tersembunyi kenyataan bahwa makhluk-makhluk hidup telah kehilangan nyawa demi kepuasan manusia. Mereka tidak menyadari bahwa turut bersenang-senang dalam pembunuhan, bahkan hanya sebagai penonton, tetap meninggalkan jejak karma. Relief ini tidak menunjukkan akibatnya secara langsung, tetapi dalam ajaran Buddha, membunuh makhluk hidup, sekecil apa pun, membawa akibat yang berat. Bahkan rasa senang atas penderitaan makhluk lain bisa menanam benih penderitaan di masa depan. Kebahagiaan sesaat yang dibangun di atas penderitaan makhluk lain bukanlah kebahagiaan sejati.","Hidup yang baik bukan hanya tentang tidak menyakiti, tapi juga tentang memilih untuk tidak bersukacita atas penderitaan makhluk lain."
002-Rejoicing-in-Killing-leads-to-a-Short-Life-Original.jpg,Mendukung Kejahatan/Menyenangi Pembunuhan,"Seorang pemburu berdiri gagah di sisi kanan relief, memegang busur dan panahnya, berbicara penuh semangat tentang pengalamannya memburu. Lawan bicaranya tampak antusias mendengarkan, bahkan mungkin menikmati kisah pembunuhan yang ia dengar. Tanpa menyadari, mereka telah ikut serta dalam kekerasan meski tanpa mengangkat senjata. Di tengah relief, terlihat pelayan-pelayan sibuk merebus ikan—hasil dari tindakan pembunuhan yang tampaknya dianggap biasa. Para bangsawan yang duduk di atas menikmati hidangan itu dengan tenang, seolah tak ada yang salah. Namun, di sisi kiri relief, terlihat gambaran yang menyayat hati: seorang anak kecil meninggal dunia dalam pelukan orangtuanya. Sebuah simbol kuat bahwa menyukai atau menikmati penderitaan makhluk hidup dapat membawa akibat yang mengerikan, bahkan bagi yang tampaknya tidak terlibat langsung. Ajaran Buddha menekankan bahwa karma tidak hanya berlaku bagi pelaku, tetapi juga bagi mereka yang mendukung atau menikmati kejahatan. Relief ini menjadi pengingat bahwa kegembiraan atas penderitaan bisa berubah menjadi duka yang mendalam. Tidak semua yang tampak nikmat di awal akan berakhir dengan kebahagiaan.","Menikmati kekerasan, meskipun hanya dalam cerita atau pikiran, tetap menanam benih penderitaan dalam hidup kita."
003-Destroying-what-is-in-the-Womb-leads-to-a-Short-Life-Original.jpg,Pengguguran/Menyenangi Kematian,"Dalam sebuah adegan yang menyentuh, tampak seseorang terbaring tak bernyawa di sisi kanan relief, dikelilingi oleh orang-orang yang tampaknya tidak bersedih, bahkan mungkin menikmati kematiannya. Beberapa dari mereka tampak berdiskusi hangat, seolah membenarkan atau memuji berakhirnya hidup seseorang yang dianggap musuh. Bergeser ke tengah, tampak sebuah tindakan yang lebih mengerikan—apa yang terlihat sebagai pengguguran. Di belakangnya, beberapa tokoh berdiri menyaksikan, dan mungkin memuji tindakan tersebut sebagai bentuk “jalan keluar”. Tanpa mereka sadari, mereka sedang memupuk karma buruk yang akan kembali kepada mereka. Di sisi kiri relief, kita melihat akibatnya: seorang anak kecil meninggal dunia, dikelilingi oleh keluarganya yang diliputi duka. Panel ini belum sepenuhnya selesai, tetapi garis sketsanya sudah cukup untuk menyampaikan pesan kuat: kehidupan adalah sesuatu yang suci, bahkan sejak dalam kandungan. Siapa pun yang dengan sengaja menghancurkan kehidupan, atau bahkan hanya menyukai kehancuran itu, akan merasakan akibatnya dalam bentuk penderitaan. Relief ini adalah teguran halus namun tajam bahwa karma berjalan, bahkan di balik niat dan pikiran.","Menghancurkan kehidupan, bahkan sebelum ia lahir, adalah menanam benih penderitaan yang akan tumbuh dalam hidup kita."
004-Killing-and-Encouraging-Killing-leads-to-a-Short-Life-Original.jpg,Kekejaman / Mendukung Kekerasan,"Di tengah panggung batu yang belum rampung, tampak sebuah adegan penuh ketegangan: seorang pria diikat erat dengan tali, sementara algojo bersiap mengayunkan pedangnya. Di sekelilingnya, beberapa orang tampak duduk, tidak hanya menyaksikan, tetapi bahkan mungkin mendukung atau memuji tindakan kejam tersebut. Tidak ada rasa iba, tidak ada suara pembelaan—yang ada hanyalah keheningan yang menyetujui kekerasan. Panel ini memperlihatkan bahwa membunuh bukan hanya soal tindakan, tetapi juga tentang persetujuan dan sikap batin yang menyertainya. Di sisi kiri, dua anak kecil berdiri di antara tengkorak dan tulang-belulang di tanah kuburan, dengan binatang-binatang kecil yang berkeliaran, seolah mengisyaratkan bahwa kekerasan melahirkan lingkaran kematian yang panjang. Seorang dewasa berjalan pergi, mungkin orangtua anak-anak itu, atau mungkin seseorang yang tidak ingin lagi terlibat. Relief ini menggugah kita untuk merenung: kadang diam dan mendukung kejahatan sama buruknya dengan melakukannya sendiri. Kekerasan yang kita izinkan hari ini, bisa menjadi duka bagi generasi esok.","Mendukung kekerasan, meski hanya dalam hati, menanam benih penderitaan yang akan tumbuh dalam kehidupan kita sendiri."
005-Destroying-People-while-acting-out-of-Fear-and-Fright-leads-to-a-Short-Life-Original.jpg,Kekerasan karena Ketakutan / Tindakan Emosional,"Pertempuran sengit tergambar di tengah relief — dua kelompok bersenjatakan pedang, tombak, dan perisai saling berhadapan dalam ketegangan yang tak terhindarkan. Walau tidak terlihat jelas siapa yang terbunuh, nuansa kematian begitu kental dalam tiap gerakan dan ekspresi. Di sisi kanan, sekelompok orang terlihat menyemangati para petarung, bukan karena keberanian, tetapi karena ketakutan yang membakar hati mereka. Mereka bukan bertarung demi keadilan, melainkan karena rasa gentar yang menuntut kekerasan sebagai tameng. Ketakutan yang tidak dikelola menjelma menjadi kemarahan, dan kemarahan melahirkan pertumpahan darah. Di kiri relief, tragedi kembali hadir: seorang anak kecil mati dipelukan orangtuanya, simbol dari kepedihan yang diwariskan dari kekerasan orang dewasa. Di atas mereka, dua sosok berdiri, saling berbisik, mungkin menyoal sebab dari ajal yang datang terlalu dini. Relief ini berbicara tanpa suara, namun pesannya menggema kuat: keputusan yang diambil dalam ketakutan jarang membawa kedamaian. Dalam tiap luka yang ditorehkan karena gentar, kehidupan yang tak bersalah ikut terenggut. Inilah peringatan bahwa rasa takut bukan alasan untuk melukai, melainkan panggilan untuk berpikir lebih jernih.","Ketakutan yang mendorong kekerasan hanya akan melahirkan penderitaan yang lebih besar dan diwariskan pada generasi berikutnya.
"
006-Speaking-in-Praise-of-Restraint-from-Killing-leads-to-a-Long-Life-Original.jpg,Pemantangan / Menahan Diri dari Kekerasan,"Di sisi kanan relief, seorang lelaki berdiri dengan tangan terangkat, tubuhnya condong ke depan seolah sedang menyampaikan nasihat penuh makna. Ia berbicara tentang pentingnya menahan diri dari membunuh — sebuah ajakan untuk hidup selaras dengan semua makhluk. Wajah-wajah di sekitarnya menunjukkan perhatian dan penghormatan, terutama sosok di tengah yang tampak seperti seorang bijak, mendukung penuh pesan damai itu. Tak ada senjata, tak ada darah — hanya ketenangan yang terpancar dari tiap lekuk ukiran. Relief ini tidak memamerkan umur panjang dengan angka, tetapi lewat simbol kemakmuran dan kebahagiaan. Di sisi kiri, tampak sepasang suami istri berpakaian indah, menikmati kebersamaan dalam ketenteraman dan kemewahan. Mereka hidup lama bukan karena kekuatan fisik, tetapi karena batin yang damai. Tidak ada kebisingan, tidak ada kekacauan, hanya harmoni yang lahir dari kebaikan hati. Relief ini seperti berbisik lembut: dalam menahan diri, kita menemukan hidup yang sesungguhnya. Dan dalam memuji kebaikan, kita menciptakan jejak panjang yang dikenang.",Menahan diri dari kekerasan membuka jalan bagi kedamaian dan umur panjang yang penuh keberkahan.
007-Encouraging-Restraint-from-Killing-leads-to-a-Long-Life-Original.jpg,Mendukung Pemantangan / Menjaga Kehidupan,"Di sudut kanan relief, seorang guru bijak mengangkat tangannya, mengisyaratkan ajakan untuk tidak membunuh dan hidup dengan kasih terhadap semua makhluk. Di hadapannya, para pendengar duduk dalam hening yang penuh hormat — menyerap ajaran yang menyejukkan hati. Suasana terasa damai, tak ada nada amarah atau kekerasan. Di tengah relief, seorang tokoh lain tampak berdiri, ikut mengangkat tangan, seolah menggemakan ajaran yang sama: hidup itu suci, jangan sia-siakan dengan kekerasan. Para penyimak tak hanya diam, tapi mulai berubah — dari mendengar menjadi mendukung, dari pasif menjadi pelindung kehidupan. Lalu, di sisi kiri, hasil dari pemantangan itu terpampang dengan indah: sepasang suami istri muda duduk santai di sebuah panggung, tersenyum bahagia. Hidangan disajikan, persembahan diberikan, dan hidup mereka dipenuhi kemakmuran yang tenang. Tak ada bayangan kematian mendadak, tak ada penderitaan tersembunyi. Semua itu lahir dari satu pilihan sederhana: mendukung kebaikan dan menolak kekerasan. Sebuah kehidupan panjang yang bukan hanya lama, tapi juga bernilai.",Mendukung kehidupan dan menolak kekerasan membuka pintu bagi umur panjang yang damai dan penuh berkah.
008-The-Release-of-Men-due-to-be-Slaughtered-leads-to-a-Long-Life-Original.jpg,Belas kasih / Menyelamatkan kehidupan,"Dalam bayang-bayang gelap penindasan, sekelompok orang berlari keluar dengan napas terengah, wajah mereka penuh harapan. Mereka bukan melarikan diri dari perang, tapi dari kemungkinan maut yang hampir menjemput. Di balik pelarian itu, berdirilah seorang tokoh bijak yang memerintahkan pembebasan mereka — wajahnya tenang, namun matanya penuh belas kasih. Ia tak menggunakan senjata, tapi keberaniannya jauh lebih tajam daripada pedang mana pun. Ia memilih menyelamatkan, bukan menghakimi. Di sisi kiri relief, terpampang hasil dari tindakan itu: sebuah keluarga duduk di atas mimbar, dikelilingi oleh orang-orang yang membawa persembahan sebagai tanda hormat. Anak-anak mereka tersenyum — hidup mereka bukan hanya selamat, tapi juga sejahtera. Orang-orang yang dulu terancam kini menjadi saksi nyata bahwa belas kasih membawa berkat. Di tengah dunia yang gemetar oleh kekerasan, satu tindakan penyelamatan cukup untuk menyalakan terang umur panjang dan kehidupan yang bermakna.","Menyelamatkan satu nyawa berarti memperpanjang kehidupan — bukan hanya bagi yang diselamatkan, tapi juga bagi penyelamatnya."
009-The-Release-of-Animals-due-to-be-Slaughtered-leads-to-a-Long-Life-Original.jpg,"Kasih sayang kepada makhluk hidup /
Keharmonisan dengan alam","Di sebuah hari yang cerah, sekelompok orang dengan penuh kelembutan melepaskan hewan-hewan yang semula ditakdirkan untuk dibantai. Seekor babi hutan digiring dengan hati-hati, sementara ikan-ikan kembali berenang bebas ke dalam kolam yang jernih. Ayam-ayam berlari-lari riang di bawah sinar matahari, menikmati kebebasan yang baru mereka dapatkan. Adegan ini bukan sekadar tindakan pelepasan, melainkan simbol kasih sayang terhadap semua makhluk hidup. Di sisi lain, pemandangan yang menyentuh hati terpampang jelas: pangeran duduk bersama permaisuri dan anak mereka, dikelilingi oleh para bangsawan yang penuh hormat dan kagum. Keharmonisan antara manusia dan alam membuahkan kemakmuran yang nyata. Mereka hidup dalam keseimbangan, saling menghargai dan menjaga kehidupan bersama. Tindakan kecil ini memperkuat ikatan antara manusia dan bumi, membawa umur panjang dan kebahagiaan. Keberanian untuk menghentikan pembantaian membawa berkah yang tak ternilai. Dari kisah ini, kita belajar bahwa belas kasih terhadap sesama makhluk adalah jalan menuju kehidupan yang lebih bermakna.",Menghormati dan melindungi kehidupan makhluk lain membawa kedamaian dan kemakmuran bagi semua.
010-Giving-Fearlessness-leads-to-a-Long-Life-Original.jpg,Memberi keberanian dan perlindungan / Kepedulian sesama,"Di tengah keributan dan ancaman bahaya, seorang pejuang berdiri tegap di atas teman yang jatuh, melindunginya dari serangan musuh yang mengintai. Dengan penuh keberanian, ia membangkitkan semangat dan keteguhan hati bagi yang tengah diliputi ketakutan. Para pendukungnya di sekitar tampak sigap, membantu dan memperkuat perjuangan melawan kejahatan. Suasana itu bukan sekadar pertarungan fisik, melainkan perwujudan rasa empati dan keberanian yang mengalir dari hati. Di sisi lain, pangeran muda duduk di singgasana, dikelilingi oleh selir dan dihormati oleh seorang brahmana tua yang bijaksana. Adegan ini mengingatkan kita bahwa keberanian dan perlindungan adalah pondasi penting dalam memimpin dan hidup bersama. Dayang yang menunjuk ke arah kejadian tersebut seolah mengajak kita menyaksikan betapa mulianya tindakan membela sesama. Memberi keberanian bukan hanya menyelamatkan nyawa, tapi juga menumbuhkan harapan dan kehidupan yang lebih baik. Tindakan kecil penuh keberanian membawa berkah panjang umur dan kedamaian. Dari kisah ini, kita belajar bahwa dalam kesulitan, keberanian dan kepedulian mampu mengubah nasib dan membuka jalan bagi hidup yang lebih bermakna.",Keberanian dan kepedulian pada sesama adalah kunci untuk melindungi hidup dan meraih masa depan yang penuh harapan.
